00:00.704  blend            | Read blend: "C:\Users\fukud\Documents\Codex\2026-08-13\referenced-chatgpt-conversation-this-is-an\morrowgear-drone-java\docs\design\carrier-v30-proposal\carrier-v30-proposal.blend"
08:20:43 | INFO: Data are loaded, start creating Blender stuff
08:20:43 | INFO: Blender create Mesh node Aft_maintenance_stencil
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.001
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.002
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.003
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.004
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.005
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.006
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.007
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.008
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.009
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.010
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.011
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.012
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.013
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.014
08:20:44 | INFO: Blender create Mesh node Aft_maintenance_stencil.015
08:20:44 | INFO: Blender create Mesh node Aft_thermal_armor
08:20:44 | INFO: Blender create Mesh node Aft_vector_nozzle_open_duct
08:20:44 | INFO: Blender create Mesh node Aft_vector_nozzle_open_duct.001
08:20:44 | INFO: Blender create Mesh node Aft_vector_nozzle_open_duct.002
08:20:44 | INFO: Blender create Mesh node Aft_vector_nozzle_open_duct.003
08:20:44 | INFO: Blender create Mesh node Bay_0_aft_service_bulkhead
08:20:44 | INFO: Blender create Mesh node Bay_0_internal_floor
08:20:44 | INFO: Blender create Mesh node Bay_1_aft_service_bulkhead
08:20:44 | INFO: Blender create Mesh node Bay_1_internal_floor
08:20:44 | INFO: Blender create Mesh node Bay_docking_rail
08:20:44 | INFO: Blender create Mesh node Bay_docking_rail.001
08:20:44 | INFO: Blender create Mesh node Bay_docking_rail.002
08:20:44 | INFO: Blender create Mesh node Bay_docking_rail.003
08:20:44 | INFO: Blender create Mesh node Bay_recessed_guidance
08:20:44 | INFO: Blender create Mesh node Bay_recessed_guidance.001
08:20:44 | INFO: Blender create Mesh node Bay_recessed_guidance.002
